ID_Venta;Fecha;ID_Producto;ID_Vendedor;Cantidad;Precio_Unitario;Costo_Unitario
VT0001;17/08/2023;P001;V044;4;1.09;0.74
VT0002;21/01/2026;P003;V033;8;0.95;0.62
VT0003;17/05/2026;P001;V015;14;1.16;0.72
VT0004;08/07/2025;P019;V045;6;0.81;0.25
VT0005;15/05/2025;P011;V006;4;1.18;0.50
VT0006;17/02/2025;P004;V047;2;4.21;2.51
VT0007;29/07/2025;P018;V041;10;1.63;0.68
VT0008;10/01/2025;P019;V019;25;0.72;0.24
VT0009;13/06/2023;P028;V024;21;28.95;17.73
VT0010;30/11/2023;P012;V042;22;1.05;0.40
VT0011;27/05/2023;P020;V025;15;1.34;0.63
VT0012;06/07/2024;P030;V050;27;87.85;57.53
VT0013;25/04/2023;P008;V014;3;1.39;0.75
VT0014;07/03/2026;P029;V042;29;23.57;14.81
VT0015;28/07/2025;P005;V048;9;1.23;0.74
VT0016;12/04/2026;P014;V033;5;1.11;0.49
VT0017;07/10/2025;P003;V044;6;1.08;0.64
VT0018;14/05/2025;P020;V017;17;1.31;0.58
VT0019;07/02/2026;P028;V035;29;31.56;19.64
VT0020;30/06/2024;P025;V001;15;6.96;4.39
VT0021;23/06/2024;P017;V020;21;2.87;1.60
VT0022;05/11/2025;P020;V034;25;1.31;0.59
VT0023;02/01/2023;P020;V020;29;1.24;0.60
VT0024;05/05/2024;P002;V032;24;1.29;0.79
VT0025;22/05/2023;P025;V011;18;6.98;4.33
VT0026;26/06/2024;P017;V049;18;2.84;1.62
VT0027;16/02/2024;P023;V034;15;8.24;4.49
VT0028;13/07/2025;P004;V015;18;2.22;2.47
VT0029;20/04/2026;P008;V003;3;1.37;0.67
VT0030;07/11/2024;P003;V009;18;0.99;0.62
VT0031;15/03/2026;P019;V007;7;0.80;0.26
VT0032;18/07/2023;P022;V004;24;2.94;1.52
VT0033;21/07/2023;P002;V013;8;1.25;0.81
VT0034;25/01/2024;P018;V005;8;1.52;0.71
VT0035;26/06/2025;P026;V001;18;1.65;0.76
VT0036;11/07/2023;P030;V014;16;83.76;58.47
VT0037;01/04/2025;P029;V030;9;24.16;13.42
VT0038;07/08/2024;P014;V046;22;1.17;0.47
VT0039;23/09/2025;P005;V035;24;1.23;0.73
VT0040;05/05/2023;P024;V034;30;6.22;3.79
VT0041;19/11/2023;P002;V005;20;1.20;0.88
VT0042;26/04/2024;P013;V003;20;1.95;0.77
VT0043;17/06/2023;P014;V014;9;1.14;0.47
VT0044;05/10/2024;P008;V021;15;1.26;0.69
VT0045;29/05/2023;P001;V035;3;1.21;0.71
VT0046;12/03/2024;P017;V016;29;3.05;1.48
VT0047;26/01/2025;P010;V042;20;1.72;0.88
VT0048;19/12/2025;P001;V009;4;1.14;0.74
VT0049;25/06/2024;P004;V039;10;4.46;2.71
VT0050;07/03/2024;P023;V032;17;7.90;4.51
VT0051;29/05/2024;P029;V018;27;22.98;15.21
VT0052;01/04/2023;P001;V048;6;1.07;0.70
VT0053;23/06/2025;P018;V045;29;1.55;0.74
VT0054;02/11/2023;P018;V009;14;1.51;0.67
VT0055;27/03/2023;P010;V023;2;1.74;0.90
VT0056;06/03/2024;P022;V027;29;2.80;1.48
VT0057;13/11/2023;P030;V012;26;91.77;59.92
VT0058;24/04/2025;P001;V043;14;1.20;0.68
VT0059;23/05/2024;P009;V031;2;3.80;2.14
VT0060;31/03/2024;P007;V015;26;1.43;0.91
VT0061;01/04/2024;P001;V050;3;1.11;0.73
VT0062;25/07/2024;P012;V022;18;1.01;0.42
VT0063;26/02/2023;P004;V003;9;4.15;2.70
VT0064;11/08/2023;P020;V033;20;1.38;0.61
VT0065;25/08/2023;P013;V001;14;0.78;0.87
VT0066;30/11/2025;P030;V043;24;89.51;58.90
VT0067;08/02/2024;P012;V021;20;1.09;0.41
VT0068;13/09/2023;P024;V026;11;6.67;4.12
VT0069;28/08/2024;P018;V048;22;1.52;0.68
VT0070;23/12/2023;P020;V019;10;1.31;0.62
VT0071;06/03/2024;P014;V029;15;1.15;0.48
VT0072;13/03/2024;P017;V043;6;3.04;1.53
VT0073;23/06/2023;P010;V049;27;1.67;0.92
VT0074;26/04/2024;P022;V016;2;3.11;1.49
VT0075;31/08/2025;P020;V037;21;1.25;0.65
VT0076;03/02/2024;P023;V045;21;7.68;4.75
VT0077;12/01/2023;P029;V015;14;25.57;14.88
VT0078;27/12/2023;P026;V008;8;1.64;0.77
VT0079;23/07/2025;P005;V021;20;1.31;0.80
VT0080;25/06/2025;P020;V036;30;1.41;0.64
VT0081;02/07/2025;P029;V016;25;25.90;13.63
VT0082;21/07/2024;P025;V005;15;7.36;4.48
VT0083;08/08/2024;P008;V010;5;1.30;0.69
VT0084;18/04/2024;P013;V022;14;1.90;0.84
VT0085;16/01/2026;P015;V050;29;3.14;1.82
VT0086;11/04/2026;P023;V001;16;8.12;4.29
VT0087;21/12/2024;P010;V035;14;1.72;0.96
VT0088;23/01/2026;P026;V032;14;1.57;0.73
VT0089;01/03/2023;P013;V030;6;1.89;0.80
VT0090;19/09/2023;P020;V002;22;1.41;0.62
VT0091;21/06/2023;P021;V025;9;2.27;1.12
VT0092;01/11/2024;P007;V049;9;1.40;0.87
VT0093;13/05/2025;P009;V023;2;3.67;2.37
VT0094;04/04/2024;P021;V016;1;0.95;1.06
VT0095;13/02/2024;P027;V008;22;1.36;0.57
VT0096;01/03/2026;P007;V039;20;1.38;0.87
VT0097;23/08/2023;P025;V020;1;7.88;4.51
VT0098;25/03/2026;P022;V005;7;2.92;1.63
VT0099;27/04/2026;P023;V044;10;7.40;4.84
VT0100;14/05/2026;P026;V035;12;1.76;0.68
VT0101;27/05/2025;P022;V027;28;2.98;1.51
VT0102;30/09/2025;P004;V046;15;4.22;2.54
VT0103;10/11/2023;P014;V035;20;1.13;0.44
VT0104;17/09/2025;P015;V016;28;3.39;1.83
VT0105;27/06/2023;P009;V043;20;3.55;2.38
VT0106;15/02/2025;P011;V023;7;1.29;0.48
VT0107;13/06/2024;P011;V001;18;1.25;0.50
VT0108;24/11/2025;P007;V016;25;1.48;0.82
VT0109;02/09/2025;P021;V015;10;1.04;1.16
VT0110;08/04/2025;P023;V034;18;7.87;4.44
VT0111;05/12/2024;P014;V018;15;1.14;0.49
VT0112;19/09/2024;P009;V035;24;3.81;2.17
VT0113;15/01/2024;P007;V034;25;1.43;0.84
VT0114;07/05/2026;P010;V012;12;1.72;0.99
VT0115;11/09/2024;P001;V036;2;0.67;0.74
VT0116;21/08/2024;P023;V001;4;7.84;4.91
VT0117;21/03/2026;P010;V017;2;1.63;0.92
VT0118;05/09/2025;P004;V044;21;4.24;2.68
VT0119;20/04/2023;P005;V008;8;1.29;0.73
VT0120;16/02/2026;P025;V034;25;7.48;4.25
VT0121;18/02/2025;P015;V020;14;3.18;1.96
VT0122;10/03/2026;P020;V014;25;1.42;0.58
VT0123;08/03/2024;P009;V011;3;3.50;2.31
VT0124;06/01/2023;P014;V019;8;1.14;0.46
VT0125;02/08/2024;P023;V041;9;7.21;4.86
VT0126;22/04/2026;P022;V042;8;2.84;1.61
VT0127;02/11/2023;P030;V020;26;82.56;54.44
VT0128;03/05/2026;P024;V045;15;7.07;4.08
VT0129;14/09/2024;P023;V006;15;7.43;4.55
VT0130;09/05/2026;P002;V006;1;1.33;0.87
VT0131;13/04/2024;P022;V044;25;3.01;1.61
VT0132;05/07/2024;P019;V029;21;0.80;0.24
VT0133;23/07/2024;P006;V031;3;1.52;0.99
VT0134;13/12/2024;P014;V027;11;1.16;0.45
VT0135;11/10/2025;P010;V030;2;1.62;0.94
VT0136;30/06/2023;P011;V033;28;1.16;0.49
VT0137;03/01/2023;P022;V024;17;2.96;1.62
VT0138;17/10/2025;P021;V019;5;2.01;1.12
VT0139;16/06/2025;P029;V016;20;23.24;14.77
VT0140;21/11/2023;P010;V008;27;1.65;0.93
VT0141;03/08/2025;P004;V033;10;4.09;2.62
VT0142;13/07/2024;P014;V010;18;1.21;0.48
VT0143;24/02/2025;P007;V005;28;1.44;0.93
VT0144;19/07/2024;P025;V018;17;7.29;4.49
VT0145;06/01/2023;P010;V032;22;1.72;0.95
VT0146;01/11/2023;P015;V025;18;3.21;1.86
VT0147;21/07/2025;P030;V025;19;83.16;54.90
VT0148;23/04/2024;P028;V025;23;28.70;19.19
VT0149;01/03/2025;P022;V009;2;3.04;1.60
VT0150;25/10/2025;P019;V034;4;0.72;0.25
VT0151;24/07/2025;P001;V005;5;1.11;0.74
VT0152;19/08/2025;P026;V006;21;1.60;0.77
VT0153;03/11/2024;P028;V046;21;30.90;18.92
VT0154;26/09/2025;P028;V019;22;31.28;18.56
VT0155;10/04/2024;P024;V007;23;7.13;3.66
VT0156;27/06/2025;P006;V004;26;0.85;0.95
VT0157;23/08/2024;P012;V044;19;0.97;0.40
VT0158;04/01/2024;P006;V016;22;1.56;0.88
VT0159;16/10/2025;P030;V017;15;83.71;57.06
VT0160;20/01/2023;P029;V005;6;26.04;14.99
VT0161;23/06/2025;P012;V017;23;0.99;0.44
VT0162;24/07/2025;P028;V016;4;33.00;17.92
VT0163;20/02/2025;P019;V043;1;0.75;0.25
VT0164;21/03/2025;P009;V039;2;3.89;2.09
VT0165;14/10/2025;P027;V023;20;1.39;0.65
VT0166;24/03/2024;P021;V043;25;2.07;1.08
VT0167;08/10/2023;P021;V029;26;0.95;1.06
VT0168;10/03/2023;P019;V048;11;0.73;0.25
VT0169;30/04/2025;P006;V034;12;1.60;0.88
VT0170;24/10/2025;P030;V019;16;82.85;54.50
VT0171;24/11/2024;P026;V044;8;1.75;0.68
VT0172;24/03/2025;P028;V017;1;30.15;19.27
VT0173;03/01/2026;P004;V025;19;4.41;2.55
VT0174;30/01/2025;P004;V021;18;4.29;2.63
VT0175;03/06/2026;P008;V020;23;1.36;0.73
VT0176;16/04/2025;P004;V008;16;4.59;2.43
VT0177;19/07/2023;P008;V048;22;1.26;0.76
VT0178;11/01/2026;P014;V007;21;1.16;0.47
VT0179;29/09/2025;P020;V014;12;0.55;0.61
VT0180;27/06/2025;P015;V024;22;3.45;1.97
VT0181;20/01/2026;P029;V008;7;24.09;15.35
VT0182;20/07/2025;P003;V004;1;1.05;0.63
VT0183;14/11/2024;P008;V049;27;1.39;0.77
VT0184;09/02/2026;P007;V010;25;1.50;0.88
VT0185;05/05/2026;P001;V017;18;1.21;0.69
VT0186;24/12/2023;P004;V016;26;2.36;2.62
VT0187;20/04/2026;P011;V034;14;1.19;0.48
VT0188;21/08/2023;P024;V007;19;6.61;3.65
VT0189;14/07/2025;P017;V043;30;2.92;1.47
VT0190;03/12/2025;P010;V026;16;1.75;0.92
VT0191;23/05/2025;P022;V006;29;3.06;1.45
VT0192;21/10/2024;P020;V036;19;1.26;0.58
VT0193;27/10/2024;P013;V028;20;1.85;0.88
VT0194;23/07/2023;P026;V036;25;1.72;0.74
VT0195;16/03/2024;P014;V026;15;1.08;0.46
VT0196;01/05/2025;P024;V010;12;6.59;3.66
VT0197;29/08/2025;P003;V048;24;0.96;0.58
VT0198;02/02/2025;P026;V022;18;1.53;0.68
VT0199;08/09/2023;P014;V047;28;1.15;0.45
VT0200;16/04/2023;P010;V010;7;1.60;0.94
VT0201;14/09/2025;P008;V049;4;1.30;0.75
VT0202;24/07/2024;P019;V040;25;0.76;0.25
VT0203;14/02/2026;P001;V012;1;1.15;0.73
VT0204;13/07/2024;P023;V010;6;8.16;4.79
VT0205;05/03/2026;P022;V006;1;2.82;1.52
VT0206;22/12/2025;P007;V047;10;1.43;0.86
VT0207;26/10/2024;P025;V011;5;7.48;4.58
VT0208;12/04/2023;P022;V029;20;2.95;1.44
VT0209;28/04/2025;P009;V019;4;3.70;2.16
VT0210;29/04/2026;P016;V004;20;1.89;0.93
VT0211;16/01/2023;P007;V019;9;1.37;0.85
VT0212;02/11/2024;P004;V035;13;4.46;2.38
VT0213;16/04/2024;P017;V048;13;2.94;1.55
VT0214;28/03/2023;P014;V028;19;1.20;0.43
VT0215;20/03/2026;P013;V021;1;1.82;0.85
VT0216;18/12/2023;P026;V006;12;1.63;0.76
VT0217;13/06/2025;P028;V026;3;30.46;17.39
VT0218;27/09/2024;P024;V041;17;6.50;3.80
VT0219;22/08/2023;P017;V042;24;3.04;1.54
VT0220;30/10/2023;P008;V049;5;1.28;0.68
VT0221;04/06/2023;P006;V049;19;1.57;0.98
VT0222;01/04/2026;P015;V021;20;3.46;1.89
VT0223;09/10/2024;P005;V018;26;1.28;0.76
VT0224;26/04/2026;P002;V004;2;1.20;0.80
VT0225;25/01/2025;P027;V040;3;1.47;0.60
VT0226;01/05/2026;P017;V003;24;2.90;1.51
VT0227;10/07/2025;P030;V033;16;89.06;58.93
VT0228;05/11/2023;P002;V006;23;1.34;0.81
VT0229;30/10/2025;P021;V034;15;2.07;1.07
VT0230;06/12/2025;P020;V050;14;1.31;0.58
VT0231;23/11/2024;P022;V022;3;3.10;1.56
VT0232;13/07/2023;P018;V039;22;1.49;0.74
VT0233;04/11/2023;P011;V042;10;1.26;0.48
VT0234;13/03/2025;P005;V042;13;1.36;0.78
VT0235;03/11/2024;P027;V034;22;1.48;0.58
VT0236;11/07/2023;P021;V012;10;1.04;1.16
VT0237;14/03/2024;P011;V010;5;1.23;0.55
VT0238;08/06/2023;P010;V048;27;1.54;0.97
VT0239;14/12/2025;P002;V025;20;1.35;0.84
VT0240;12/11/2023;P006;V011;29;1.58;0.88
VT0241;15/06/2025;P002;V040;15;1.31;0.81
VT0242;06/08/2024;P025;V031;10;7.32;4.46
VT0243;02/02/2024;P012;V019;25;1.04;0.42
VT0244;21/02/2025;P017;V039;26;3.07;1.54
VT0245;11/10/2023;P028;V007;18;31.39;17.78
VT0246;22/11/2025;P028;V033;15;28.88;17.44
VT0247;29/10/2023;P027;V023;15;1.53;0.61
VT0248;24/02/2023;P014;V024;3;1.13;0.43
VT0249;04/04/2024;P001;V010;11;1.06;0.70
VT0250;09/10/2023;P002;V049;5;1.34;0.79
VT0251;18/08/2025;P015;V010;7;1.69;1.88
VT0252;28/01/2026;P024;V020;8;6.59;3.96
VT0253;07/09/2023;P002;V008;3;1.31;0.79
VT0254;20/10/2025;P020;V010;23;1.36;0.62
VT0255;19/08/2024;P014;V043;6;1.10;0.43
VT0256;25/06/2023;P017;V033;17;2.69;1.64
VT0257;08/02/2026;P001;V017;12;1.12;0.71
VT0258;03/02/2023;P012;V007;21;1.00;0.43
VT0259;06/04/2026;P024;V042;11;6.31;4.04
VT0260;25/12/2023;P027;V012;21;1.43;0.64
VT0261;04/10/2023;P003;V003;7;0.57;0.63
VT0262;13/02/2024;P029;V035;27;26.16;13.39
VT0263;27/08/2025;P009;V050;28;3.77;2.10
VT0264;08/04/2023;P028;V026;14;29.73;18.87
VT0265;19/06/2025;P029;V032;23;24.02;15.31
VT0266;22/01/2025;P030;V006;14;84.15;58.83
VT0267;31/05/2025;P020;V006;4;1.27;0.66
VT0268;02/11/2024;P022;V045;6;2.95;1.49
VT0269;28/06/2025;P012;V028;20;1.06;0.41
VT0270;16/07/2024;P021;V026;21;2.29;1.21
VT0271;14/01/2025;P017;V039;5;2.95;1.61
VT0272;16/06/2025;P002;V025;12;1.23;0.78
VT0273;07/03/2026;P002;V029;12;1.31;0.83
